measure,caller,seasons,n,actual,expected,resid,epa
oz_action_of_PA_pp,Ben Johnson,4,630,48.0952380952381,44.9646128595821,3.13062523565595,0.230866961902569
oz_action_of_PA_pp,Matt LaFleur,3,378,47.3544973544974,45.0802472415109,2.27425011298644,0.233050829597882
oz_action_of_PA_pp,Klint Kubiak,2,258,46.5116279069767,44.773174602856,1.73845330412073,0.340433860356493
oz_action_of_PA_pp,Kyle Shanahan,4,472,46.8220338983051,45.5323128597969,1.28972103850821,0.17419410844223
oz_action_of_PA_pp,Joe Brady,2,251,43.8247011952191,44.8478393048879,-1.02313810966879,0.203272024740973
oz_action_of_PA_pp,Kellen Moore,3,348,41.0919540229885,43.8986747472108,-2.80672072422231,0.165200310737837
oz_action_of_PA_pp,Mike McDaniel,4,739,39.106901217862,45.444494255986,-6.33759303812406,0.124290065757971
oz_action_of_PA_pp,Shane Steichen,4,470,33.1914893617021,44.5405002160275,-11.3490108543254,0.1910669385515
oz_action_of_PA_pp,Greg Roman,3,330,30.3030303030303,45.4225746429328,-15.1195443399025,0.138329775586273
oz_action_of_PA_pp,Drew Petzing,3,314,26.7515923566879,44.7577261953217,-18.0061338386338,-0.00252544585686585
quick_throw_lt2.5s_pp,Byron Leftwich,1,812,64.4088669950739,50.9770828588256,13.4317841362484,0.0469865394444229
quick_throw_lt2.5s_pp,Mike McDaniel,4,2295,60.8278867102396,50.9711231602952,9.85676354994441,0.155481894985491
quick_throw_lt2.5s_pp,Press Taylor,2,1165,60,50.8123829027102,9.18761709728978,0.0654080606165618
quick_throw_lt2.5s_pp,Zac Taylor,4,2601,60.2845059592465,51.5409609902276,8.74354496901881,0.163851507917557
quick_throw_lt2.5s_pp,Pete Carmichael,2,1116,55.5555555555556,51.1431175955041,4.4124379600515,0.127066084191263
quick_throw_lt2.5s_pp,Kliff Kingsbury,3,1758,56.0295790671217,51.7304416211901,4.29913744593169,0.0997571726530935
quick_throw_lt2.5s_pp,Nathaniel Hackett,2,911,54.006586169045,49.8553811219796,4.15120504706545,-0.0929773428784549
quick_throw_lt2.5s_pp,Shane Steichen,4,2249,54.0240106714095,51.1419700765912,2.88204059481831,0.114406388272851
