caller,season,n_H,n_L,resid_H,resid_L,act_H,act_L,epa_H,epa_L,n,resid,epa
Drew Petzing,2023,267,564,-13.7313013414988,-2.65155577807563,31.4606741573034,68.7943262411347,-0.0887175286642172,-0.123912106027833,831,11.0797455634232,-0.112604101026527
Drew Petzing,2024,273,472,-11.7886703413648,4.60282094397788,30.4029304029304,73.0932203389831,0.104402687700786,0.00303676911882293,745,16.3914912853427,0.040181595659596
Drew Petzing,2025,233,540,-0.828417745526788,9.51544593605733,41.6309012875536,80,-0.096401595634452,-0.0372353001898672,773,10.3438636815841,-0.0550693840690241
Eric Bieniemy,2023,117,633,-5.76291770125048,12.4184048382968,34.1880341880342,78.1990521327014,-0.190896709457549,-0.125591007725587,750,18.1813225395473,-0.135778697195773
Greg Roman,2022,380,443,-16.15459142841,3.75258227133317,23.1578947368421,72.686230248307,-0.0341993223655185,-0.0582340083907004,823,19.9071736997432,-0.0471365834945047
Greg Roman,2024,286,470,-8.02969826137893,9.45491136071529,28.6713286713287,76.3829787234043,-0.023533738918368,0.0193422993328028,756,17.4846096220942,0.00312199914783608
Greg Roman,2025,305,587,-11.8414325511358,7.07997300961966,25.9016393442623,75.9795570698467,-0.0699769450137849,-0.091290311572131,892,18.9214055607555,-0.0840026694193333
Joe Brady,2023,106,263,-15.1089648048411,3.76045260819191,17.9245283018868,66.1596958174905,-0.15993908654793,0.170952842772687,369,18.869417413033,0.0758998766263851
Joe Brady,2024,392,525,-10.0327789942658,7.10002424887248,25.5102040816326,74.0952380952381,0.145779245604324,0.200390871209758,917,17.1328032431383,0.17704544347003
Joe Brady,2025,441,432,-13.9468066069105,7.49972323300662,25.6235827664399,76.6203703703704,0.0180122744072387,0.165503744110336,873,21.4465298399171,0.0909977439510393
Joe Lombardi,2022,248,613,-2.20806225383235,13.4689069518647,37.0967741935484,80.9135399673736,-0.114735821340864,0.021993293181566,861,15.676969205697,-0.0173897734869156
John Morton,2025,144,160,-10.0102135161352,14.057832909748,29.1666666666667,81.875,0.107931885570805,0.133133742888458,304,24.0680464258832,0.121196021001149
Josh Grizzard,2025,172,582,-16.4225915598488,5.91358340687764,22.093023255814,73.8831615120275,-0.108296499241057,-0.0465590176396581,754,22.3361749667265,-0.0606423688802955
Josh McDaniels,2022,196,567,-11.4021126394711,9.02170271627488,29.0816326530612,77.4250440917108,-0.0829190484115054,0.0734089714174387,763,20.423815355746,0.0332513149476182
Josh McDaniels,2023,108,216,-12.3336617248478,10.8226014922062,27.7777777777778,81.4814814814815,-0.233743042935169,-0.181530496881654,324,23.156263217054,-0.198934678899492
Josh McDaniels,2025,416,479,-9.0750878741696,7.72776795640617,27.1634615384615,75.9916492693111,-0.0601489094506877,0.141924189983056,895,16.8028558305758,0.0479997102462543
