caller,seasons,plays,epa,first,last,class,side,rank_in_side,rank_in_class
Dennis Allen,11,10044,0.03304024801405593,2015,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",17,13
James Bettcher,5,5049,0.03256663963082572,2015,2019,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",18,14
Mike Tomlin,9,9034,0.028982462531957565,2013,2021,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",19,15
Mike Caldwell,2,2162,0.028607863133719855,2022,2023,Freshmen (1-2),"Defense: EPA per play allowed, flipped",20,2
Bob Sutton,6,6310,0.02790235846207567,2013,2018,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",21,16
Romeo Crennel,7,6224,0.02687877052099164,2012,2020,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",22,17
Jonathan Gannon,2,2122,0.026768145653571915,2021,2022,Freshmen (1-2),"Defense: EPA per play allowed, flipped",23,3
Don Martindale,6,6071,0.024200666583687254,2018,2023,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",24,18
Rod Marinelli,8,7134,0.021731114881246474,2012,2020,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",25,19
Chuck Pagano,2,2010,0.02027964319834797,2019,2020,Freshmen (1-2),"Defense: EPA per play allowed, flipped",26,4
Dick LeBeau,3,2996,0.019882966912037947,2012,2017,Sophomores (3-4),"Defense: EPA per play allowed, flipped",27,4
Josh Boyer,3,3112,0.019770101896498516,2020,2022,Sophomores (3-4),"Defense: EPA per play allowed, flipped",28,5
Mike Pettine,6,6142,0.017951235758617307,2012,2020,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",29,20
Jeff Hafley,2,2083,0.01619870707366768,2024,2025,Freshmen (1-2),"Defense: EPA per play allowed, flipped",30,5
Matt Burke,3,2767,0.014119948898602427,2017,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",31,6
Zach Orr,2,2134,0.013303143039325347,2024,2025,Freshmen (1-2),"Defense: EPA per play allowed, flipped",32,6
Vance Joseph,8,8485,0.013298995517260999,2016,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",33,21
Gregg Williams,7,7021,0.011585285971787563,2014,2020,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",34,22
Gus Bradley,9,9229,0.010423934702440777,2012,2024,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",35,23
Robert Saleh,5,5017,0.009520827937817335,2017,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",36,24
Chris Shula,2,2117,0.00869073660010798,2024,2025,Freshmen (1-2),"Defense: EPA per play allowed, flipped",37,7
Dean Pees,10,10348,0.007463441519880704,2012,2022,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",38,25
Todd Wash,5,4966,0.003955710906759295,2016,2020,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",39,26
Raheem Morris,4,3897,0.003692852064587464,2020,2023,Sophomores (3-4),"Defense: EPA per play allowed, flipped",40,7
Perry Fewell,3,3062,0.003666905368711609,2012,2014,Sophomores (3-4),"Defense: EPA per play allowed, flipped",41,8
Jeff Ulbrich,5,5380,0.003334047490979622,2021,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",42,27
Steve Wilks,4,3813,0.0029357395892593246,2017,2025,Sophomores (3-4),"Defense: EPA per play allowed, flipped",43,9
Billy Davis,3,3367,0.0026954092414373273,2013,2015,Sophomores (3-4),"Defense: EPA per play allowed, flipped",44,10
Matt Patricia,9,8479,0.0013089440448653112,2012,2023,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",45,28
Teryl Austin,9,8784,-6.60000851014945e-4,2014,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",46,29
Gunther Cunningham,2,1957,-0.002166611609140592,2012,2013,Freshmen (1-2),"Defense: EPA per play allowed, flipped",47,8
Steve Spagnuolo,11,11463,-0.0025413044459282825,2012,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",48,30
Matt Eberflus,7,6625,-0.0038482626694680486,2018,2025,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",49,31
Dom Capers,6,6074,-0.008486448903878228,2012,2017,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",50,32
Joe Woods,6,5588,-0.008799723629721435,2017,2024,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",51,33
John Pagano,5,4907,-0.01089287928069858,2012,2016,Upperclassmen (5+ seasons),"Defense: EPA per play allowed, flipped",52,34
