off_play_caller,season,H_situ_m,n_look,H_look,presnap_tip
Jim Bob Cooter,2016,0.8323844400914728,914,0.8063330585574697,0.026051381534003104
Jim Bob Cooter,2017,0.8356992227350886,810,0.8098984073472103,0.025800815387878262
Jim Bob Cooter,2018,0.8441587396589191,797,0.8281193186620441,0.016039420996874942
Joe Brady,2020,0.8338180186857598,824,0.8109060312672216,0.02291198741853817
Joe Brady,2021,0.8361641383411843,631,0.8180141882965603,0.018149950044624052
Joe Brady,2023,0.8260789401843228,486,0.7941397296022902,0.03193921058203264
Joe Brady,2024,0.8216149870228635,1004,0.7809990874306934,0.04061589959217016
Joe Brady,2025,0.8328682293084056,1003,0.8016731483114906,0.031195080996915037
Joe Lombardi,2021,0.8255689116460946,957,0.8023303481135674,0.02323856353252718
Joe Lombardi,2022,0.8240331012947986,1049,0.8009379196830407,0.02309518161175783
Joe Philbin,2018,0.8213840878095117,201,0.8030366597390101,0.018347428070501604
John DeFilippo,2018,0.8441379456283115,638,0.8226648486768553,0.02147309695145616
John DeFilippo,2019,0.8202365216509246,768,0.79749439263902,0.022742129011904644
John Morton,2017,0.8310313610854797,794,0.819203453304721,0.011827907780758706
John Morton,2025,0.8546485142165654,350,0.8443673646848768,0.010281149531688571
Jon Gruden,2018,0.8473962216379398,735,0.838171863301038,0.009224358336901828
Jon Gruden,2019,0.8367200806755584,765,0.8143386875803218,0.022381393095236568
Jon Gruden,2020,0.8399279703450236,915,0.8215048086704597,0.018423161674563926
Jon Gruden,2021,0.825554142059522,314,0.8138656543479749,0.01168848771154718
Josh Grizzard,2025,0.8391972589818638,916,0.8039285903671792,0.035268668614684584
Josh McDaniels,2016,0.8459189378356176,762,0.8246929549677106,0.021225982867907
Josh McDaniels,2017,0.8459176324334094,903,0.8272515487071546,0.01866608372625489
Josh McDaniels,2018,0.8561748830301503,965,0.8324906414857607,0.02368424154438964
Josh McDaniels,2019,0.8065250729601489,767,0.7887691175172031,0.017755955442945726
Josh McDaniels,2020,0.86196091326014,809,0.8450609596579333,0.016899953602206752
Josh McDaniels,2021,0.8645873151973112,794,0.8459291146378581,0.01865820055945311
Josh McDaniels,2022,0.8278685800676224,945,0.79901700026449,0.028851579803132466
Josh McDaniels,2023,0.8441474868544068,366,0.8243392649451274,0.019808221909279333
Josh McDaniels,2025,0.8302015800929609,1007,0.7875779481146256,0.0426236319783353
Kellen Moore,2019,0.8413020134673059,808,0.8151701827922253,0.026131830675080625
Kellen Moore,2020,0.8535507935650384,918,0.8328449935776948,0.020705799987343565
Kellen Moore,2021,0.8426732979831507,909,0.8208871925518622,0.02178610543128856
Kellen Moore,2022,0.861453085375236,988,0.8485896587223694,0.01286342665286666
Kellen Moore,2023,0.8340705488676665,927,0.801530338882507,0.032540209985159496
Kellen Moore,2024,0.8397951879338482,1101,0.8165329276247622,0.02326226030908607
Kellen Moore,2025,0.8357113754818793,838,0.8106436064284627,0.025067769053416677
Ken Dorsey,2022,0.8430312273359074,927,0.8245375063678351,0.018493720968072336
Ken Dorsey,2023,0.8405412810270869,483,0.8211092963351805,0.019431984691906434
Ken Dorsey,2024,0.827479985268181,466,0.8155857345429447,0.01189425072523631
Ken Whisenhunt,2016,0.8240975162532059,894,0.7978074476897548,0.026290068563451174
Ken Whisenhunt,2017,0.8268435521339762,795,0.8088955115494937,0.017948040584482516
Ken Whisenhunt,2018,0.8387473758534192,738,0.8203139069042127,0.0184334689492065
Ken Whisenhunt,2019,0.8184212408631809,422,0.8021491613723871,0.01627207949079379
Ken Zampese,2016,0.8418004133791926,851,0.8169322213644614,0.024868192014731227
Ken Zampese,2017,0.8345209169708727,98,0.8246529953864679,0.00986792158440486
Kevin O'Connell,2019,0.8193786134817878,480,0.8053373197143519,0.014041293767435903
Kevin O'Connell,2022,0.8330195788350286,934,0.8120767529465588,0.02094282588846985
Kevin O'Connell,2023,0.8203545436811328,957,0.7952328908525135,0.025121652828619334
Kevin O'Connell,2024,0.8332403934391515,917,0.7999595931277608,0.03328080031139069
Kevin O'Connell,2025,0.8362467734483591,761,0.8127058964370957,0.023540877011263395
Kevin Patullo,2025,0.851431632935098,903,0.8369164727310905,0.01451516020400756
Kevin Stefanski,2018,0.8465158091746932,120,0.8415923756817197,0.004923433492973417
Kevin Stefanski,2019,0.8440288096476802,832,0.8327577765348182,0.011271033112862039
Kevin Stefanski,2020,0.8528153453296151,860,0.8391094182775768,0.013705927052038325
