coach,season,n_games,mean_residual
Bill Parcells,2006,16,0.1289759491267777
Bobby Petrino,2007,12,-0.19332409374757809
Bobby Ross,2000,7,-0.08879332405220457
Brad Childress,2006,16,0.09136012821360572
Brad Childress,2007,16,0.07844064063946092
Brad Childress,2008,16,0.05968154609614011
Brad Childress,2009,16,0.13024693560678507
Brad Childress,2010,10,-0.054102362861504875
Brandon Staley,2021,17,-0.04974949246877302
Brandon Staley,2022,17,-0.10107921947667702
Brandon Staley,2023,14,-0.1073270003640512
Brian Billick,2000,16,0.06927873755339721
Brian Billick,2001,16,0.1202023179290716
Brian Billick,2002,16,-0.02298879777973629
Brian Billick,2003,16,0.17464217245460384
Brian Billick,2004,16,0.0027985080090493393
Brian Billick,2005,16,-0.03502399305963947
Brian Billick,2006,16,0.19339577316141365
Brian Billick,2007,16,-0.06716802692611956
Brian Callahan,2024,17,-0.13585263709597006
Brian Callahan,2025,17,-0.2957577804608027
Brian Daboll,2022,17,0.0048045816017592445
Brian Daboll,2023,17,-0.09186118523254796
Brian Daboll,2024,17,-0.12414980569379008
Brian Daboll,2025,17,-0.06090611760509255
Brian Flores,2019,16,-0.3523584351943241
Brian Flores,2020,16,0.03124255300284891
Brian Flores,2021,17,-0.06789720808506983
Brian Schottenheimer,2025,17,-0.10755973423903617
Bruce Arians,2013,16,0.14565333444417333
Bruce Arians,2014,16,0.07791703535915659
Bruce Arians,2015,16,0.23643572397003315
Bruce Arians,2016,16,0.11316708286239237
Bruce Arians,2017,16,-0.2149798491288172
Bruce Arians,2019,16,-0.008021438440296957
Bruce Arians,2020,16,0.28926641936248565
Bruce Arians,2021,17,0.23892909663548625
Bruce Coslet,2000,3,-0.2627418052188653
Butch Davis,2001,16,-0.03570527485548084
Butch Davis,2002,16,0.03352581170510159
Butch Davis,2003,16,-0.05551976081823694
Butch Davis,2004,11,0.015785957540369898
Cam Cameron,2007,16,-0.05595465843152738
Chan Gailey,2010,16,-0.09304492133480793
Chan Gailey,2011,16,-0.08158074155195277
Chan Gailey,2012,16,-0.15325546589452885
Chip Kelly,2013,16,0.13986892457504163
Chip Kelly,2014,16,0.03535562660768516
Chip Kelly,2015,15,-0.02540542511412442
Chip Kelly,2016,16,-0.21801932402377436
Chris Palmer,2000,16,-0.2647552877421126
Chris Tabor,2023,6,-0.008387885809122364
Chuck Pagano,2012,16,-0.05501680765878901
Chuck Pagano,2013,16,0.12487438654596691
Chuck Pagano,2014,16,0.14023707246631928
Chuck Pagano,2015,16,-0.1286449776927817
Chuck Pagano,2016,16,0.012042273238960441
Chuck Pagano,2017,16,-0.25779120346928397
Dan Campbell,2021,17,-0.14895586500848204
Dan Campbell,2022,17,-0.03537811175654683
Dan Campbell,2023,17,0.005014903198956313
Dan Campbell,2024,17,0.19250160729970123
Dan Campbell,2025,17,0.016563778703883765
Dan Quinn,2015,16,0.05564367300674039
Dan Quinn,2016,16,0.09245313613261577
Dan Quinn,2017,16,-0.010981573405030792
Dan Quinn,2018,16,-0.10152609924356143
Dan Quinn,2019,16,0.0880342358071677
Dan Quinn,2020,5,-0.14901879807659488
Dan Quinn,2024,17,-0.008224549691299776
Dan Quinn,2025,17,-0.12427684584734097
Dan Reeves,2000,16,-0.13377520299029383
Dan Reeves,2001,16,-0.10240821850863577
Dan Reeves,2002,16,-0.017530154490374136
Dan Reeves,2003,13,-0.2905372196100229
Darrell Bevell,2020,5,-0.17557992360169405
Darrell Bevell,2021,4,-0.1224052370919895
Dave Campo,2000,16,-0.10120365878508983
Dave Campo,2001,16,-0.08326166201980155
Dave Campo,2002,16,0.004946719467599196
Dave Canales,2024,17,-0.20737800635680523
Dave Canales,2025,17,-0.040130236504293024
Dave McGinnis,2000,7,-0.1651063004703361
Dave McGinnis,2001,16,-0.11788491114575622
Dave McGinnis,2002,16,-0.07119052022315782
Dave McGinnis,2003,16,-0.2060880587513168
Dave Wannstedt,2000,15,0.04940353906265915
Dave Wannstedt,2001,16,0.05557054934363226
Dave Wannstedt,2002,16,-0.0019437096574764544
Dave Wannstedt,2003,16,-0.025094700820785958
Dave Wannstedt,2004,9,-0.16271151361714065
