coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Pete Carroll,1999,2025,260,148.5,141.84917587217996,6.650824127820138,0.4348615775882398,7.381271648991139,0.4826216078186514,0.9010404228557504,FALSE,TRUE
Bill Cowher,1999,2006,128,78.5,72.43017984133954,6.069820158660484,0.8061479898220956,5.257599841881684,0.6982749789999112,1.15448500099013,FALSE,TRUE
Nick Sirianni,2021,2025,85,59,53.314783580911254,5.685216419088763,1.1370432838177527,4.228202001286744,0.8456404002573487,1.344594325757997,FALSE,TRUE
Marvin Lewis,2003,2018,256,132.5,127.12872371073472,5.371276289265188,0.35668631608401635,7.416088818013675,0.4924746480712206,0.7242734574885836,FALSE,TRUE
John Harbaugh,2008,2025,293,180,174.65618431124165,5.343815688758542,0.31005073962080276,7.840081712216676,0.45488528705694026,0.68160203999298,FALSE,TRUE
Jim Caldwell,2009,2017,112,62,56.76239613910381,5.237603860896219,0.7949934431717476,4.909574108316199,0.745203212869423,1.0668142990293963,FALSE,TRUE
Brian Flores,2019,2021,49,24,18.79338800790034,5.206611992099656,1.806375589095799,3.0649337229612286,1.0633443528640998,1.698768215799856,FALSE,TRUE
DeMeco Ryans,2023,2025,51,32,26.95411279116611,5.045887208833884,1.6819624029446278,3.381005093326204,1.1270016977754014,1.4924222441409525,FALSE,TRUE
Dan Campbell,2021,2025,85,48.5,43.57712092616628,4.922879073833709,0.9845758147667418,4.198415833161671,0.8396831666323342,1.172556333022037,FALSE,TRUE
Mike Macdonald,2024,2025,34,24,19.265054823338605,4.734945176661393,2.3674725883306964,2.7324472454629,1.36622362273145,1.7328587713902057,FALSE,TRUE
Mike Zimmer,2014,2021,129,72.5,68.28328150141057,4.216718498589393,0.5556915850854238,5.313523875618749,0.7002318285699127,0.793582300050993,FALSE,TRUE
Sean McVay,2017,2025,149,92,87.83858863741,4.161411362589907,0.4747919004297209,5.600511183010848,0.6389844973904995,0.7430413450853467,FALSE,TRUE
John Fox,2002,2017,256,133,129.10313478854314,3.896865211456837,0.2587762054483056,7.298031098037536,0.48463487760405516,0.5339611683080819,FALSE,TRUE
Liam Coen,2025,2025,17,13,9.151283166247417,3.8487168337525826,3.8487168337525826,1.9452825572534904,1.9452825572534904,1.9784872996478808,TRUE,TRUE
Dick Jauron,1999,2009,142,60,56.215181949269464,3.7848180507305256,0.4531120201578798,5.460404800012657,0.6537104338043321,0.6931387304329072,FALSE,TRUE
Adam Gase,2016,2020,80,32,28.324558580180447,3.675441419819573,0.7810313017116592,3.9777195070307485,0.8452653952440341,0.9240071888737028,FALSE,TRUE
Bill O'Brien,2014,2020,100,52,48.35264376600033,3.6473562339996537,0.6200505597799412,4.690645719747514,0.7974097723570773,0.7775808389545101,FALSE,TRUE
Mike Sherman,2000,2005,96,57,53.7939097057784,3.2060902942216134,0.5677451562684107,4.575344785490331,0.8102173057639127,0.7007319545379405,FALSE,TRUE
Tom Cable,2008,2010,44,17,13.794067312631704,3.205932687368299,1.238655811028661,2.89075443375208,1.1168823948587583,1.1090297570545038,FALSE,TRUE
Jack Del Rio,2003,2017,187,93,89.9905017132901,3.0094982867099067,0.27359075333726424,6.398624295338265,0.5816931177580241,0.4703352076636981,FALSE,TRUE
Ron Rivera,2011,2023,211,103,100.06923260017913,2.930767399820808,0.23612817913248216,6.7729780209748265,0.5456901723060287,0.43271473652279563,FALSE,TRUE
Ben Johnson,2025,2025,17,11,8.132190296650618,2.8678097033493812,2.8678097033493812,1.9749747879122654,1.9749747879122654,1.452074082616987,FALSE,TRUE
Matt Nagy,2018,2021,65,34,31.219788527996062,2.7802114720039355,0.7271322311394909,3.744801092932442,0.9794095166131003,0.7424189971667721,FALSE,TRUE
Bobby Ross,1999,2000,23,13,10.285922148767174,2.714077851232825,2.0060575422155664,2.275787949468301,1.6821041365635268,1.1925881986794609,FALSE,TRUE
Brian Billick,1999,2007,144,80,77.40817978868716,2.5918202113127897,0.3059787749466488,5.516666799897339,0.6512731638767691,0.4698163411574941,FALSE,TRUE
Dick Vermeil,1999,2005,96,57,54.48408257155773,2.5159174284422887,0.4455270446199886,4.567697962320777,0.8088631808276375,0.5508064344876231,FALSE,TRUE
Jason Garrett,2010,2019,152,85,82.55752358561024,2.44247641438975,0.2731717042409589,5.78879796210223,0.6474313510245915,0.4219315357661495,FALSE,TRUE
Dave Canales,2024,2025,34,13,10.886825545551948,2.1131744544480524,1.0565872272240262,2.621884325868119,1.3109421629340594,0.8059754709996102,FALSE,TRUE
Dave Wannstedt,2000,2004,73,42,39.97651022728915,2.0234897727108705,0.4712236456997918,4.036798303389162,0.9400763172276131,0.5012610540913118,FALSE,TRUE
Rich Bisaccia,2021,2021,12,7,5.009172208798083,1.9908277912019172,2.820339370869383,1.6434070099889797,2.3281599308177214,1.211402762128456,FALSE,FALSE
Lovie Smith,2004,2022,193,92.5,90.51097582459076,1.989024175409205,0.1751990206318989,6.394571930154297,0.563252449806337,0.3110488390989467,FALSE,TRUE
Todd Haley,2009,2011,45,19,17.42871742919118,1.5712825708088238,0.5935956378611111,2.9959992357660457,1.1318219335116173,0.5244602709009247,FALSE,TRUE
Tony Sparano,2008,2014,73,32,30.72533983132478,1.2746601686752204,0.2968386694175171,3.9554266740950212,0.9211267597207584,0.32225604813338,FALSE,TRUE
