off_play_caller,season,n_games,script_epa,n_script,rest_epa,n_rest,gap
Freddie Kitchens,2019,16,-0.0606755566728675,240,-0.0159100784012127,364,-0.0447654782716548
Gary Kubiak,2015,19,0.00251626752485127,285,-0.0841029779244664,565,0.0866192454493177
Gary Kubiak,2016,16,-0.088080722829366,240,-0.0404063069311884,321,-0.0476744158981776
Gary Kubiak,2020,16,0.033730609104538,240,0.122219708440466,432,-0.0884890993359284
Geep Chryst,2015,16,-0.176764926416199,240,-0.122038267971154,297,-0.0547266584450454
George Godsey,2021,17,-0.00641542856608731,255,-0.0126583335635964,378,0.00624290499750909
Greg Olson,2015,16,-0.0631744248124646,240,-0.156853454191648,428,0.093679029379183
Greg Olson,2021,13,0.0139436046623948,195,-0.00648641676987431,331,0.0204300214322691
Greg Roman,2015,16,0.0502675929336463,240,-0.116264406049653,351,0.166531998983299
Greg Roman,2019,17,0.225021706163744,255,0.0219691240925595,269,0.203052582071185
Greg Roman,2020,18,0.0019363557351897,270,0.0651394988585168,263,-0.0632031431233271
Greg Roman,2021,17,-0.0897944696717157,255,0.0435065282184055,499,-0.133300997890121
Greg Roman,2022,18,-0.0607660513293941,270,0.0710787603200392,423,-0.131844811649433
Greg Roman,2024,18,0.0589206839957586,270,-0.0893301249021791,370,0.148250808897938
Greg Roman,2025,18,-0.0797252108526062,270,-0.0772315647035425,442,-0.00249364614906368
Hue Jackson,2015,17,0.107514980424709,255,-0.0367979591314984,336,0.144312939556207
Hue Jackson,2016,16,0.0465234467675405,240,-0.0784525520073658,292,0.124975998774906
Hue Jackson,2017,16,-0.0993335613803949,240,-0.286106365320459,277,0.186772803940064
Jason Garrett,2020,15,-0.0516606241158765,225,-0.0701434720276736,350,0.0184828479117972
Jay Gruden,2017,16,-0.00577264377897019,240,0.013709645078212,418,-0.0194822888571821
Jay Gruden,2018,16,-0.0976097285733108,240,0.0161272732800475,302,-0.113737001853358
Jay Gruden,2020,16,-0.130121545987736,240,-0.0228121607436871,202,-0.107309385244049
Jeremy Bates,2018,16,-0.206458708003141,240,-0.0235616160749479,298,-0.182897091928193
Jim Bob Cooter,2016,17,0.0484394806441584,255,0.0527689012709883,455,-0.00432942062682989
Jim Bob Cooter,2017,16,-0.167306850309465,240,0.0480713079100243,368,-0.215378158219489
Jim Bob Cooter,2018,16,0.036601283330102,240,-0.0230274353904785,337,0.0596287187205805
Joe Brady,2020,16,0.0477713731825967,240,0.00642067277133145,328,0.0413507004112653
Joe Brady,2021,12,0.0617864980299108,180,-0.135812181500169,246,0.19759867953008
Joe Brady,2024,20,0.133734827427659,300,0.168717294781066,402,-0.0349824673534077
Joe Brady,2025,19,0.124381215299679,285,0.049782420966821,428,0.074598794332858
Joe Lombardi,2021,17,0.000803137651116327,255,0.0775583179077715,473,-0.0767551802566551
Joe Lombardi,2022,18,-0.106262934096502,270,0.0541716256460179,574,-0.16043455974252
John DeFilippo,2015,16,-0.159179333116959,240,-0.0469411462222191,262,-0.11223818689474
John DeFilippo,2018,13,-0.0728309945248853,195,-0.0629918814161234,232,-0.00983911310876188
John DeFilippo,2019,16,-0.104387125221043,240,-0.0391835388734843,266,-0.0652035863475588
John Morton,2017,16,-0.00193207399286893,240,-0.079452443807354,348,0.077520369814485
Jon Gruden,2018,16,-0.0705347080427122,240,0.0242332384315708,338,-0.094767946474283
Jon Gruden,2019,16,0.118208383652258,240,0.181070828449112,340,-0.0628624447968532
Jon Gruden,2020,16,0.0529407447055712,240,-0.00252973307403381,478,0.055470477779605
Josh Grizzard,2025,17,0.0515940443757371,255,0.115783625470128,429,-0.0641895810943907
Josh McDaniels,2015,18,0.164384148501451,270,0.0171411275986224,288,0.147243020902829
Josh McDaniels,2016,19,0.109636483411443,285,0.114608854582861,239,-0.00497237117141715
Josh McDaniels,2017,19,0.139145983950963,285,0.203609208363103,342,-0.0644632244121406
Josh McDaniels,2018,19,0.100203866093449,285,0.147698573963743,354,-0.0474947078702944
Josh McDaniels,2019,17,0.0403887124415312,255,-0.0577153792230588,278,0.0981040916645899
Josh McDaniels,2020,16,-0.108643969506581,240,0.0420619400996329,388,-0.150705909606214
Josh McDaniels,2021,18,0.0375540528345102,270,-0.123606330286293,328,0.161160383120803
Josh McDaniels,2022,17,-0.00392784994484703,255,-0.0296345994563814,447,0.0257067495115344
Josh McDaniels,2025,21,0.0550587447616511,315,0.119222411982075,418,-0.0641636672204237
Kellen Moore,2019,16,-0.0438702274060724,240,0.10676390806235,324,-0.150634135468422
Kellen Moore,2020,16,-0.106478163768916,240,-0.0448708416588817,451,-0.0616073221100341
Kellen Moore,2021,18,0.0775047609548052,270,0.0243289706450814,385,0.0531757903097238
Kellen Moore,2022,19,-0.0382333356556341,285,0.00204732548788273,447,-0.0402806611435169
Kellen Moore,2023,17,-0.0952087285080887,255,-0.0511914916476519,433,-0.0440172368604369
