off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Matt LaFleur,WR2,286,14.685314685314685,-1.6788256698688375,-5.781117763747505,2.4234664240098303,-1.124141137878548,12,36,286,66.78321678321679,60.81883591580224,5.964380867414546,0.7278677238339561,11.200894010995135,1,36
Mike Kafka,WR2,171,16.374269005847953,0.05968764333572807,-5.486683659930801,5.606058946602257,0.031382084899561326,19,36,171,65.49707602339181,63.32265249295541,2.17442353043639,-4.273948756208521,8.6227958170813,11,36
Mike McCarthy,WR2,150,27.333333333333332,11.240875794824706,4.108661884736252,18.373089704913163,4.51170550823037,35,36,150,65.33333333333333,60.55890518426895,4.774428149064379,-2.6200124324144545,12.168868730543213,3,36
Mike McDaniel,WR2,355,12.112676056338028,-4.276451065945015,-7.670554448613178,-0.8823476832768513,-3.196699206737663,4,36,355,67.88732394366197,64.70457479567595,3.1827491479860246,-1.5405412110987537,7.906039507070803,7,36
Nathaniel Hackett,WR2,100,20,3.911300432824511,-3.9286995671754887,11.751300432824511,1.3957938463690591,30,36,100,52.99999999999999,61.90436671674252,-8.90436671674251,-18.486644244077706,0.6779108105926852,35,36
Pete Carmichael,WR2,109,8.256880733944953,-7.563652900897736,-12.730642402824682,-2.3966633989707917,-4.242584959147344,1,36,109,67.88990825688074,62.31842772402894,5.571480532851796,-3.2903569986157315,14.433318064319323,2,36
Press Taylor,WR2,132,9.090909090909092,-6.834918473948687,-11.739211609511566,-1.9306253383858074,-4.008231597416419,2,36,132,67.42424242424242,64.15891836990009,3.265324054342332,-4.429231213114931,10.959879321799594,6,36
Scott Turner,WR2,122,20.491803278688526,3.8690094556257613,-3.2936152573024655,11.031634168553989,1.544984954671346,31,36,122,66.39344262295081,65.79060140447538,0.6028412184754315,-7.634175301711414,8.839857738662277,19,36
Sean McVay,WR2,353,12.181303116147308,-4.324924237453139,-7.736924751940185,-0.9129237229660938,-3.2243253153198292,3,36,353,60.90651558073654,65.18151888428598,-4.275003303549447,-9.17898300787484,0.6289764007759455,30,36
Sean Payton,WR2,241,12.033195020746888,-4.4311970451430405,-8.538884928110303,-0.3235091621757773,-2.964549783425375,5,36,241,65.14522821576763,63.316829459301175,1.8283987564664612,-3.6762679447656392,7.333065457698561,13,36
Shane Steichen,WR2,423,13.47517730496454,-3.0034348814038907,-6.257479404505602,0.25060964169782096,-2.29187686413025,6,36,423,68.08510638297871,68.23889123491644,-0.15378485193769684,-4.403098473941855,4.09552877006646,23,36
Shane Waldron,WR2,279,17.56272401433692,1.4271803823491105,-3.0377194942155805,5.8920802589138015,0.9007049938900593,27,36,279,62.365591397849464,61.6140629548753,0.7515284429741516,-4.619218619241446,6.122275505189748,18,36
Todd Downing,WR2,161,17.391304347826086,0.7267702021111049,-5.128165006247237,6.581705410469446,0.36245791080014816,21,36,161,59.00621118012421,64.70339039097661,-5.697179210852397,-12.91787073311891,1.523512311414116,32,36
Todd Monken,WR2,168,14.285714285714286,-2.0679912149943984,-7.35949383712358,3.223511407134783,-1.1356503446506971,11,36,168,57.738095238095234,59.12218764424324,-1.3840924061480022,-8.875366307971245,6.107181495675239,27,36
Zac Robinson,WR2,170,16.470588235294116,-0.40110319096154967,-5.976886367315977,5.174679985392878,-0.2098306253298264,18,36,170,53.52941176470589,59.48314880623536,-5.953737041529488,-13.223994921057812,1.316520837998838,34,36
Zac Taylor,WR2,409,24.938875305623473,8.459861569577292,4.266711719925206,12.65301141922938,5.582119133895927,36,36,409,66.01466992665037,63.95070774339522,2.063962183255151,-2.4183920052149603,6.546316371725263,12,36
Andy Reid,WR3,180,11.11111111111111,-6.132269828270221,-10.723428505255423,-1.541111151285019,-4.2627815463077425,2,28,180,55.000000000000014,58.20828910503122,-3.208289105031217,-9.885882840025811,3.469304629963378,21,28
Arthur Smith,WR3,109,12.844036697247706,-4.637334272788884,-10.918527372681163,1.6438588271033954,-2.5467817491468954,7,28,109,54.12844036697248,60.93396563595588,-6.805525268983398,-14.99688541649991,1.3858348785331147,26,28
Ben Johnson,WR3,203,9.852216748768473,-7.405152034415909,-11.50485655870013,-3.305447510131689,-5.486534879157843,1,28,203,68.4729064039409,66.43290406671063,2.040002337230244,-3.758349127070897,7.838353801531385,4,28
Bobby Slowik,WR3,129,17.829457364341085,-0.33508074704599267,-6.940317010366748,6.270155516274762,-0.17564271614386848,15,28,129,62.790697674418595,65.6448559012524,-2.8541582268337864,-10.707861324431551,4.999544870763978,19,28
Dave Canales,WR3,167,23.952095808383234,6.216174858954023,-0.2569386223286392,12.689288340236686,3.3209801163032764,25,28,167,60.479041916167674,62.947418982397295,-2.4683770662296354,-9.612487262376515,4.675733129917244,17,28
Drew Petzing,WR3,134,15.671641791044776,-2.085001659564602,-8.240280659023743,4.070277339894539,-1.1659256769988602,11,28,134,73.13432835820896,67.781184435780375,5.353143922428589,-1.3029395348121708,12.009227379669348,1,28
Greg Roman,WR3,176,18.75,1.898066530882776,-3.868430308226264,7.664563369991816,1.1218911079155776,21,28,176,59.65909090909091,60.17194364050573,-0.5128527314148215,-7.593825629890824,6.56812016706118,11,28
Joe Brady,WR3,109,22.01834862385321,4.638096117483595,-3.1410406702874436,12.417232905254634,2.0531050358018237,24,28,109,66.97247706422019,62.434955529116706,4.537521535103475,-3.87944534336635,12.954488413573301,3,28
Josh McDaniels,WR3,105,12.380952380952381,-4.543331987098844,-10.843290834701062,1.756626860503375,-2.488443460258992,8,28,105,66.66666666666667,68.06456416845322,-1.3978975017865565,-9.897135567147638,7.101340563574525,14,28
Kellen Moore,WR3,201,26.3681592039801,8.917884243281637,2.826292663057176,15.009475823506099,5.032518028792442,27,28,201,58.706467661691555,61.32456206563693,-2.6180944039453995,-9.111166472060098,3.874977664169299,18,28
Kevin O'Connell,WR3,254,13.779527559055119,-3.663863015266152,-7.902845050359354,0.5751190198270502,-2.6668400109867485,6,28,254,63.385826771653555,63.763567511960275,-0.37774074030673693,-6.167845099651985,5.412363619038511,10,28
Kevin Stefanski,WR3,143,16.083916083916083,-1.4645794361747626,-7.486105301450227,4.556946429100702,-0.8348064954427277,13,28,143,54.54545454545454,65.31243273219862,-10.766978186744074,-18.423855210504584,-3.1101011629835646,28,28
Kliff Kingsbury,WR3,147,19.047619047619047,2.067712356767366,-4.280224024159612,8.415648737694344,1.1247360141745557,22,28,147,66.66666666666667,66.56805612400277,0.09861054266391035,-7.150072572175585,7.347293657503405,7,28
Kyle Shanahan,WR3,183,17.48633879781421,0.2665613096260664,-5.2369884768803665,5.770111096132499,0.1635155793869415,17,28,183,61.74863387978142,63.45612152678067,-1.7074876469992524,-8.582237408629366,5.167262114630862,15,28
Liam Coen,WR3,113,16.8141592920354,-0.07055345173244731,-6.966265746400133,6.825158842935238,-0.035465849209377454,16,28,113,66.3716814159292,61.554682294351856,4.81699912157734,-3.67342453035148,13.307422773506161,2,28
Luke Getsy,WR3,80,13.75,-3.9532192933903794,-11.499656780708484,3.5932181939277257,-1.8093651309108063,10,28,80,55.00000000000001,60.792021695524454,-5.792021695524451,-15.429479474838763,3.8454360837898616,24,28
Matt LaFleur,WR3,238,15.966386554621849,-1.4474887394279783,-6.101178546612595,3.2062010677566386,-0.9978632262759993,12,28,238,65.12605042016807,63.18724200505168,1.9388084151163856,-3.7878599774999895,7.665476807732761,5,28
Mike Kafka,WR3,104,19.23076923076923,1.7910673830237087,-5.783550053698699,9.365684819746116,0.8164480446772343,19,28,104,59.61538461538461,59.79416354631002,-0.17877893092540112,-8.621103269054869,8.263545407204065,8,28
Mike McCarthy,WR3,107,27.102803738317757,8.995449107210277,0.5732267117969769,17.417671502623577,3.633295774779959,26,28,107,53.27102803738318,61.80102451939449,-8.529996482011315,-17.189574855205734,0.12958189118310415,27,28
Mike McDaniel,WR3,151,16.556291390728475,-0.8356416480828166,-6.764156706503691,5.092873410338058,-0.48267591367012347,14,28,151,64.90066225165563,63.45748244137164,1.4431798102839888,-5.918252019392312,8.804611639960289,6,28
